calendar,businessDayConvention,endOfMonthConvention,contractType,statusDate,contractRole,legalEntityIDRecordCreator,contractID,legalEntityIDCounterparty,cycleAnchorDateOfInterestPayment,cycleOfInterestPayment,nominalInterestRate,dayCountConvention,accruedInterest,cyclePointOfInterestPayment,currency,amortizationDate,contractDealDate,initialExchangeDate,premiumDiscountAtIED,maturityDate,notionalPrincipal,cycleAnchorDateOfPrincipalRedemption,cycleOfPrincipalRedemption,nextPrincipalRedemptionPayment,terminationDate,cycleAnchorDateOfRateReset,cycleOfRateReset,rateSpread,marketObjectCodeOfRateReset,cyclePointOfRateReset,rateMultiplier,description,contrStrucObj.marketObjectCode,contrStruc.referenceType,contrStruc.referenceRole
NOCALENDAR,NULL,NULL,ANN,2021-12-31,RPA,NULL,ALM0001,CP_A,2023-01-01,P1YL1,0.03,30E360,NULL,E,CHF,2026-01-01,2021-12-31,2022-01-01,0,2026-01-01,1004363,2023-01-01,P1YL1,NULL,NULL,2021-12-31,P1YL1,NULL,YC_CTRS,B,1,4 years mortgage with variable rate,NULL,NULL,NULL
NOCALENDAR,NULL,NULL,ANN,2021-12-31,RPA,NULL,ALM0002,CP_A,2023-01-01,P1YL1,0.03,30E360,NULL,E,CHF,2028-01-01,2021-12-31,2022-01-01,0,2028-01-01,1100631,2023-01-01,P1YL1,NULL,NULL,2021-12-31,P1YL1,NULL,YC_CTRS,B,1,6 years mortgage with variable rate,NULL,NULL,NULL
NOCALENDAR,NULL,NULL,ANN,2021-12-31,RPA,NULL,ALM0003,CP_A,2023-01-01,P1YL1,0.04,30E360,NULL,E,CHF,2032-01-01,2021-12-31,2022-01-01,0,2032-01-01,748756,2023-01-01,P1YL1,NULL,NULL,2021-12-31,P1YL1,NULL,YC_CTRS,B,1,10 years mortgage with variable rate,NULL,NULL,NULL
NOCALENDAR,NULL,NULL,ANN,2021-12-31,RPA,NULL,ALM0004,CP_A,2023-01-01,P1YL1,0.04,30E360,NULL,E,CHF,2031-01-01,2021-12-31,2022-01-01,0,2031-01-01,1563347,2023-01-01,P1YL1,NULL,NULL,NULL,NULL,NULL,,B,1,9 years mortgage with nominal interest,NULL,NULL,NULL
NOCALENDAR,NULL,NULL,ANN,2021-12-31,RPA,NULL,ALM0005,CP_A,2023-01-01,P1YL1,0.03,30E360,NULL,E,CHF,2027-01-01,2021-12-31,2022-01-01,0,2027-01-01,2349075,2023-01-01,P1YL1,NULL,NULL,NULL,NULL,NULL,,B,1,5 years mortgage with nominal interest,NULL,NULL,NULL
NOCALENDAR,NULL,NULL,ANN,2021-12-31,RPA,NULL,ALM0006,CP_A,2023-01-01,P1YL1,0.02,30E360,NULL,E,CHF,2025-01-01,2021-12-31,2022-01-01,0,2025-01-01,1352094,2023-01-01,P1YL1,NULL,NULL,NULL,NULL,NULL,,B,1,3 years mortgage with nominal interest,NULL,NULL,NULL
NOCALENDAR,NULL,NULL,ANN,2021-12-31,RPA,NULL,ALM0007,CP_A,2023-01-01,P1YL1,0.02,30E360,NULL,E,CHF,2024-01-01,2021-12-31,2022-01-01,0,2024-01-01,1092548,2023-01-01,P1YL1,NULL,NULL,2021-12-31,P1YL1,0.04,YC_CTRS,B,1,2 years mortgage with variable rate + spread x,NULL,NULL,NULL
NOCALENDAR,NULL,NULL,ANN,2021-12-31,RPA,NULL,ALM0008,CP_A,2023-01-01,P1YL1,0.03,30E360,NULL,E,CHF,2029-01-01,2021-12-31,2022-01-01,0,2029-01-01,2069333,2023-01-01,P1YL1,NULL,NULL,2021-12-31,P1YL1,0.04,YC_CTRS,B,1,7 years mortgage with variable rate + spread x,NULL,NULL,NULL
NOCALENDAR,NULL,NULL,ANN,2021-12-31,RPA,NULL,ALM0009,CP_A,2023-01-01,P1YL1,0.04,30E360,NULL,E,CHF,2030-01-01,2021-12-31,2022-01-01,0,2030-01-01,721979,2023-01-01,P1YL1,NULL,NULL,NULL,NULL,0.04,,B,1,8 years mortgage with nominal interest + spread x,NULL,NULL,NULL
NOCALENDAR,NULL,NULL,ANN,2021-12-31,RPA,NULL,ALM0010,CP_A,2023-01-01,P1YL1,0.03,30E360,NULL,E,CHF,2027-01-01,2021-12-31,2022-01-01,0,2027-01-01,683474,2023-01-01,P1YL1,NULL,NULL,2021-12-31,P1YL1,0.05,YC_CTRS,B,1,5 years mortgage with variable rate + spread y,NULL,NULL,NULL
